Name,Mean,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,Copy,CDH
SEEDGWAS4089.RN,0.034575964,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006525,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4090.RN,0.031302024,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006531,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4098.RN,0.053355558,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006565,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4111.RN,0.08896733,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006746,NA,Landrace,Unknown,Unknown,30.38333333,-107.9333333,1462,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4112.RN,0.039933421,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006914,NA,Landrace,Unknown,Unknown,23.480832,-104.393881,1406,NA,NA,NA,NA,N10,NA,Ambiguous,Yes,Low,Experimental,BChr
SEEDGWAS4113.RN,0.152751187,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007061,NA,Landrace,Unknown,Unknown,21.696608,-104.088629,1181,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4114.RN,0.080700018,Romero-Navarro_etal_2017,CIMMYTMA-BANK-007065,NA,Landrace,Unknown,Unknown,21.03333333,-104.4666667,1023,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4129.RN,0.034996176,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010099,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,Low,Experimental,BChr
SEEDGWAS4130.RN,0.057417179,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010104,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4136.RN,0.061861969,Romero-Navarro_etal_2017,CIMMYTMA-BANK-010195,NA,Landrace,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
SEEDGWAS4157.RN,0.082845626,Romero-Navarro_etal_2017,CIMMYTMA-BANK-014358,NA,Landrace,Unknown,Unknown,16.55,-92.46666667,1781,NA,NA,NA,NA,N10,NA,N10,Yes,High,Experimental,BChr
