"","Name","Data_Source","Accession","Group","Maize_Type","Ab10_Status","B_Chrom_Status","Latitude","Longitude","Altitude","DTA_BLUP","DTS_BLUP","PH_BLUP","PresTiller_BLUP","KMeans_Chr10Class","RF_Ab10Class"
"91","12S024401.SW","Swarts_etal_2017","PI_218160:Navajo","US - Athabaskan","Landrace","Unknown","Unknown",NA,NA,1829,NA,NA,NA,NA,"N10",NA
"92","12S024601.SW","Swarts_etal_2017","PI_218160:Navajo","US - Athabaskan","Landrace","Unknown","Unknown",NA,NA,1829,NA,NA,NA,NA,"N10",NA
"93","12S024801.SW","Swarts_etal_2017","PI_218160:Navajo","US - Athabaskan","Landrace","Unknown","Unknown",NA,NA,1829,NA,NA,NA,NA,"N10",NA
"94","12S024901.SW","Swarts_etal_2017","PI_218160:Navajo","US - Athabaskan","Landrace","Unknown","Unknown",NA,NA,1829,NA,NA,NA,NA,"N10",NA
"95","12S025401.SW","Swarts_etal_2017","PI_218167:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"Ab10","Ab10-I"
"96","12S025501.SW","Swarts_etal_2017","PI_218167:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"97","12S025601.SW","Swarts_etal_2017","PI_218167:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"98","12S025701.SW","Swarts_etal_2017","PI_218167:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"99","12S025901.SW","Swarts_etal_2017","PI_218167:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"100","12S026301.SW","Swarts_etal_2017","PI_218168:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"101","12S026401.SW","Swarts_etal_2017","PI_218168:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"102","12S026701.SW","Swarts_etal_2017","PI_218168:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"Ab10","Ab10-I"
"103","12S027001.SW","Swarts_etal_2017","PI_218168:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"N10",NA
"104","12S027201.SW","Swarts_etal_2017","PI_218168:Acoma","US - Puebloan (East)","Landrace","Unknown","Unknown",34.8964,-107.5817,2002,NA,NA,NA,NA,"Ab10","Ab10-I"
"105","12S027901.SW","Swarts_etal_2017","PI_218169:Laguna","US - Puebloan (East)","Landrace","Unknown","Unknown",35.0215,-107.1503,1770,NA,NA,NA,NA,"N10",NA
"106","12S028501.SW","Swarts_etal_2017","PI_218169:Laguna","US - Puebloan (East)","Landrace","Unknown","Unknown",35.0215,-107.1503,1770,NA,NA,NA,NA,"N10",NA
"107","12S028601.SW","Swarts_etal_2017","PI_218169:Laguna","US - Puebloan (East)","Landrace","Unknown","Unknown",35.0215,-107.1503,1770,NA,NA,NA,NA,"N10",NA
"108","12S028801.SW","Swarts_etal_2017","PI_218169:Laguna","US - Puebloan (East)","Landrace","Unknown","Unknown",35.0215,-107.1503,1770,NA,NA,NA,NA,"N10",NA
"109","12S029001.SW","Swarts_etal_2017","PI_218169:Laguna","US - Puebloan (East)","Landrace","Unknown","Unknown",35.0215,-107.1503,1770,NA,NA,NA,NA,"N10",NA
"110","12S029101.SW","Swarts_etal_2017","PI_218175:Hopi_Moencopi","US - Puebloan (West)","Landrace","Unknown","Unknown",36.111741,-111.220699,1456,NA,NA,NA,NA,"N10",NA
"111","12S029201.SW","Swarts_etal_2017","PI_218175:Hopi_Moencopi","US - Puebloan (West)","Landrace","Unknown","Unknown",36.111741,-111.220699,1456,NA,NA,NA,NA,"N10",NA
"112","12S029501.SW","Swarts_etal_2017","PI_218175:Hopi_Moencopi","US - Puebloan (West)","Landrace","Unknown","Unknown",36.111741,-111.220699,1456,NA,NA,NA,NA,"N10",NA
"113","12S029701.SW","Swarts_etal_2017","PI_218175:Hopi_Moencopi","US - Puebloan (West)","Landrace","Unknown","Unknown",36.111741,-111.220699,1456,NA,NA,NA,NA,"N10",NA
"114","12S029801.SW","Swarts_etal_2017","PI_218175:Hopi_Moencopi","US - Puebloan (West)","Landrace","Unknown","Unknown",36.111741,-111.220699,1456,NA,NA,NA,NA,"N10",NA
"115","12S030601.SW","Swarts_etal_2017","PI_218181:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
"116","12S030701.SW","Swarts_etal_2017","PI_218181:Papago","US - Desert SW","Landrace","Unknown","Unknown",32.2217,-110.9264,701,NA,NA,NA,NA,"N10",NA
