Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model,CDH
SEEDGWAS4385.RN,0.0223877466432919,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005344,NA,Landrace,Unknown,Unknown,19.96666667,-102.45,1650,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4387.RN,0.0527831366422124,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005564,NA,Landrace,Unknown,Unknown,19.691693,-101.082409,2004,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4397.RN,0.0348598131270725,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005854,NA,Landrace,Unknown,Unknown,17.447871,-97.216461,2094,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4400.RN,0.0324146652973862,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-005899,NA,Landrace,Unknown,Unknown,18.168377,-96.911836,1893,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4405.RN,0.031125094274856,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006049,NA,Landrace,Unknown,Unknown,17.515762,-96.919424,2000,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4408.RN,0.0273512576142035,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006067,NA,Landrace,Unknown,Unknown,17.592724,-96.549449,2063,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4409.RN,0.021354116517088,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006068,NA,Landrace,Unknown,Unknown,17.532596,-96.556048,2074,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4410.RN,0.0337565678565907,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006075,NA,Landrace,Unknown,Unknown,17.19135,-97.957508,1656,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4428.RN,0.0295826775678712,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006839,NA,Landrace,Unknown,Unknown,28.2,-108.3833333,1948,NA,NA,NA,NA,N10,NA,K10L2,Yes,Low,K10L2
SEEDGWAS4435.RN,0.0249167201949264,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006912,NA,Landrace,Unknown,Unknown,24.21666667,-104.7666667,2167,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4436.RN,0.0248528409050539,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006921,NA,Landrace,Unknown,Unknown,23.480832,-104.393881,1406,NA,NA,NA,NA,N10,NA,K10L2,Yes,High,K10L2
SEEDGWAS4437.RN,0.0302642901812483,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006923,NA,Landrace,Unknown,Unknown,23.478827,-104.395773,1409,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4438.RN,0.0249780395411542,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006926,NA,Landrace,Unknown,Unknown,23.478886,-104.395213,1402,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4449.RN,0.0276803016824245,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006990,NA,Landrace,Unknown,Unknown,22.3,-103.55,2190,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
SEEDGWAS4450.RN,0.0400962320657081,Experimental,Romero-Navarro_etal_2017,CIMMYTMA-BANK-006993,NA,Landrace,Unknown,Unknown,22.3,-103.55,2190,NA,NA,NA,NA,N10,NA,K10L2,No,Neither,K10L2
